field	type	group	lower_limit	upper_limit
maingroup	category	site	1	10
subgroup	category	site	1	5
fertilityclass	category	site	1	8
soiltype	category	site	10	80
drainagestate	category	site	1	9
ditchingyear	integer	site	1500	
harvestaccessibility	category	site	1	6
growthplacedatasource	category	meta	1	5
growthplacedate	date	meta		
developmentclass	category	site		
maintreespecies	category	site	1	30
laserheight	real	meta	0	
laserdensity	real	meta	0	
treedatadate	date	meta		
agepine	integer	pine	0	
basalareapine	real	pine	0	
stemcountpine	integer	pine	0	
meandiameterpine	real	pine	0	
meanheightpine	real	pine	0	
volumepine	real	pine	0	
agespruce	integer	spruce	0	
basalareaspruce	real	spruce	0	
stemcountspruce	integer	spruce	0	
meandiameterspruce	real	spruce	0	
meanheightspruce	real	spruce	0	
volumespruce	real	spruce	0	
agedeciduous	integer	deciduous	0	
basalareadeciduous	real	deciduous	0	
stemcountdeciduous	integer	deciduous	0	
meandiameterdeciduous	real	deciduous	0	
meanheightdeciduous	real	deciduous	0	
volumedeciduous	real	deciduous	0	
age	integer	total	0	
basalarea	real	total	0	
stemcount	integer	total	0	
meandiameter	real	total	0	
meanheight	real	total	0	
dominantheight	real	total	0	
volume	real	total	0	
creationtime	date	meat		
updatetime	date	meta		
